Bos taurus . Bovine
Cynocephalus variegatus . Lemur
Trichechus manatus . Manatee
Equus caballus . Equus
Felis catus . Cat
Homo sapiens . Human
Balaenoptera acutorostrata . Dolphin
Lama pacos . Alpaca
Mus musculus . Mouse
Oryctolagus cuniculus . Rabbit
Phoca vitulina . Seal
Rattus norvegicus . Rat
Sus scrofa . Pig
Pongo pygmaeus . Orangutan
Gorilla gorilla . Gorilla
Pan troglodytes . Chimpanzee
